,CRRA,DiscFac,RiskyAvg,RiskyStd,PermShkStd,TranShkStd,solved,linear_root,cons_at_root,share_at_root,srle1
392,5.0,0.9,1.06,0.2,0.1,0.2,1,31.12350105300986,2.2654854939287175,0.730904040307523,0.9994530880363419
393,5.0,0.9,1.06,0.2,0.2,0.0,1,57.673220049903065,2.6152644369044786,0.48897091308107304,0.9994530880363419
394,5.0,0.9,1.06,0.2,0.2,0.1,1,57.676514869037085,2.615142294268594,0.4889035585065039,0.9994530880363419
395,5.0,0.9,1.06,0.2,0.2,0.2,1,57.68619025793852,2.614766016972764,0.48870033002075386,0.9994530880363419
396,5.0,0.9,1.06,0.3,0.0,0.0,1,1.8422672482091398,1.045513640688142,0.9520097018310937,0.9994530880363419
397,5.0,0.9,1.06,0.3,0.0,0.1,1,1.8805726762338482,1.0475044265988018,0.9503773215352197,0.9994530880363419
398,5.0,0.9,1.06,0.3,0.0,0.2,1,2.000776901099952,1.0531642311859954,0.9350435523267642,0.9994530880363419
399,5.0,0.9,1.06,0.3,0.1,0.0,1,10.85708494291893,1.3315748280145796,0.5802030216272287,0.9994530880363419
400,5.0,0.9,1.06,0.3,0.1,0.1,1,10.875047003072899,1.3313178083288224,0.5786461008310712,0.9994530880363419
401,5.0,0.9,1.06,0.3,0.1,0.2,1,10.928941587324468,1.3305157490361752,0.57394141675345,0.9994530880363419
402,5.0,0.9,1.06,0.3,0.2,0.0,1,30.529597475007602,1.43941175157864,0.25175891902159736,0.9994530880363419
403,5.0,0.9,1.06,0.3,0.2,0.1,1,30.53573599896051,1.4393747027708277,0.2516840763649019,0.9994530880363419
404,5.0,0.9,1.06,0.3,0.2,0.2,1,30.554395472552983,1.4392682857581502,0.2514603409645194,0.9994530880363419
405,5.0,0.95,1.04,0.1,0.0,0.0,1,2.3065702386916462,1.0502527014881402,1.0,1.0000536867695282
406,5.0,0.95,1.04,0.1,0.0,0.1,1,2.3929515056978254,1.053575057911455,1.0,1.0000536867695282
407,5.0,0.95,1.04,0.1,0.0,0.2,1,2.6702255002233506,1.0642394423162829,1.0,1.0000536867695282
408,5.0,0.95,1.04,0.1,0.1,0.0,0,,,,1.0000536867695282
409,5.0,0.95,1.04,0.1,0.1,0.1,0,,,,1.0000536867695282
410,5.0,0.95,1.04,0.1,0.1,0.2,0,,,,1.0000536867695282
411,5.0,0.95,1.04,0.1,0.2,0.0,0,,,,1.0000536867695282
412,5.0,0.95,1.04,0.1,0.2,0.1,0,,,,1.0000536867695282
413,5.0,0.95,1.04,0.1,0.2,0.2,0,,,,1.0000536867695282
414,5.0,0.95,1.04,0.2,0.0,0.0,1,2.2406486815594584,1.0477172569830562,1.0,1.0000536867695282
415,5.0,0.95,1.04,0.2,0.0,0.1,1,2.3152942609001714,1.050588240803853,1.0,1.0000536867695282
416,5.0,0.95,1.04,0.2,0.0,0.2,1,2.5533698928132846,1.0597449958774339,1.0,1.0000536867695282
417,5.0,0.95,1.04,0.2,0.1,0.0,1,70.8769479736884,2.071765568132058,0.38942473380695636,1.0000536867695282
418,5.0,0.95,1.04,0.2,0.1,0.1,1,70.88204888744723,2.0716527999530987,0.3893544463576793,1.0000536867695282
419,5.0,0.95,1.04,0.2,0.1,0.2,1,70.89736612085477,2.0713123887588822,0.38914277948829507,1.0000536867695282
420,5.0,0.95,1.04,0.2,0.2,0.0,1,88.67631488185432,2.0186673728000004,0.2938796328949208,1.0000536867695282
421,5.0,0.95,1.04,0.2,0.2,0.1,1,88.67675930746715,2.018597926462656,0.2938578490058939,1.0000536867695282
422,5.0,0.95,1.04,0.2,0.2,0.2,1,88.67898476371603,2.0183988819027783,0.29379217772682475,1.0000536867695282
